Model,Precision,Recall,F1,ROC-AUC
Naive Bayes,0.9984732824427482,0.8340044742729307,0.9086197269418854,0.9900526387778047
Logistic Regression,0.9887443807057927,0.7081342281879195,0.8250875906957574,0.9908134970036281
Linear SVM,0.9674205653127054,0.9102729306487696,0.9376699482152905,0.992299001982126
Voting Hard,0.9907008154139403,0.8607785234899328,0.9210046382513444,0.9297675000869354
Voting Soft,0.9893623777520085,0.8754809843400448,0.9288180044033156,0.9927587068655747
Stacking,0.9774567575941966,0.9169753914988814,0.9459579611639507,0.9925437933952314
AdaBoost,0.9894736842105264,0.2436152125279642,0.39054655211890027,0.8986808406069248
